ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC
1,1,2,3,9,1,1,0,0,1,0,1
2,1,2,3,9,1,1,0,0,1,0,0
3,0,4,7,9,2,2,0,0,7,1,1
4,0,3,5,9,2,5,0,2,5,1,1
5,1,3,6,9,2,3,1,0,3,1,2
6,0,3,6,9,2,3,1,1,3,1,1
7,0,3,1,9,1,1,0,0,1,0,1
8,1,3,2,9,1,1,0,0,1,0,1
9,0,3,7,9,2,1,0,0,2,0,1
11,0,2,2,9,1,1,0,0,1,0,1
12,1,3,7,9,2,1,0,0,4,0,1
13,0,4,6,9,2,5,1,3,2,0,1
16,1,3,7,7,2,1,0,0,2,0,1
18,0,3,5,9,2,1,0,0,2,0,1
19,0,3,6,9,2,2,0,0,3,0,2
20,0,4,7,9,2,5,1,2,4,0,4
21,1,3,4,9,1,1,0,0,1,0,1
22,1,3,7,7,2,3,1,1,3,0,1
23,0,3,1,9,1,2,0,0,1,0,3
24,1,2,1,9,1,1,0,0,1,0,1
25,0,2,4,9,1,1,0,0,3,0,1
26,0,2,1,9,1,2,1,1,3,1,3
28,0,3,7,9,2,1,0,0,3,0,1
29,0,3,5,7,2,1,0,0,5,0,2
30,1,3,1,9,1,1,0,0,1,0,1
31,1,2,1,7,1,5,0,1,2,1,2
32,1,2,5,9,2,6,0,0,6,0,4
33,0,3,7,9,2,1,0,0,4,0,2
34,0,3,6,9,2,6,0,0,6,0,2
35,0,2,1,7,1,1,0,0,1,0,1
37,0,4,7,7,2,2,0,1,6,1,1
38,0,3,4,9,2,1,0,0,2,0,1
39,1,2,2,7,2,2,0,0,2,0,4
41,1,3,4,9,2,1,0,0,1,0,1
42,0,2,1,9,1,1,0,0,1,0,1
43,0,2,1,9,1,3,0,1,3,1,1
44,1,2,1,6,2,1,0,0,5,1,0
46,0,3,1,9,1,2,0,0,1,1,1
47,1,2,3,9,1,3,0,0,4,1,2
48,0,3,4,9,2,2,0,0,3,0,1
49,0,2,3,7,1,1,0,0,7,0,2
50,1,3,1,9,1,1,0,0,1,0,1
51,0,2,2,9,1,1,0,0,3,0,1
52,1,3,6,9,2,1,0,0,7,0,1
53,1,3,2,6,2,3,0,0,5,0,3
54,0,3,6,9,2,1,0,0,2,0,1
55,0,2,1,9,1,1,0,0,1,0,1
56,0,3,6,9,2,3,1,0,4,1,3
57,0,3,7,9,2,1,0,0,4,0,1
58,0,3,5,9,2,1,0,2,2,1,1
59,1,3,7,9,2,1,0,0,7,1,3
60,1,3,7,9,2,2,0,0,3,0,1
61,0,3,6,7,2,4,1,2,4,0,2
63,0,3,6,7,2,1,0,0,2,0,1
65,0,2,6,9,2,1,0,0,3,1,1
66,0,3,6,9,2,1,0,0,2,0,2
67,1,3,5,9,2,4,1,1,4,0,2
68,0,2,1,9,1,2,0,0,2,1,2
69,0,3,5,9,2,1,0,0,2,0,1
70,0,3,6,9,2,2,0,0,5,0,1
71,0,2,3,7,1,1,0,0,1,0,1
72,0,3,4,9,2,1,0,0,2,0,1
73,1,3,7,7,2,1,0,0,4,0,1
74,1,3,2,9,1,2,0,0,1,0,1
75,0,3,7,9,2,4,1,1,4,1,3
76,1,3,5,7,2,1,0,0,2,1,2
77,0,4,7,9,2,3,1,0,7,1,4
78,0,3,2,9,1,1,0,0,1,0,1
79,0,3,1,9,1,1,0,0,1,0,1
80,1,3,2,9,1,1,0,0,1,0,3
81,0,3,6,9,2,4,0,1,4,0,3
82,1,2,1,9,1,1,0,0,1,0,1
84,1,2,4,7,2,1,0,0,1,0,1
85,1,2,7,9,1,5,0,1,7,1,2
86,1,2,7,9,2,2,0,0,4,0,1
87,0,2,7,9,2,3,0,0,6,1,3
88,0,3,6,9,2,6,2,2,5,1,3
89,1,3,1,9,1,1,0,0,1,0,1
90,0,4,6,7,2,2,1,0,4,0,2
91,0,3,6,9,2,3,0,1,2,0,1
92,0,2,1,7,1,4,1,0,5,1,4
93,0,3,6,9,2,1,0,0,2,0,1
94,0,3,5,9,2,1,0,0,2,0,1
95,1,3,1,9,1,3,0,0,7,1,4
96,0,3,2,9,1,1,0,0,1,0,1
98,0,5,7,9,2,3,1,0,6,0,2
99,0,2,1,9,1,1,0,0,1,0,1
101,0,3,7,9,2,2,0,0,4,0,1
102,1,3,6,9,2,1,0,0,2,0,1
103,0,3,3,9,2,1,0,0,1,0,4
104,0,2,5,7,2,2,0,0,3,0,1
105,0,5,4,9,4,2,0,2,4,0,1
106,1,4,7,9,2,3,1,2,4,1,2
107,0,3,1,9,1,3,0,1,4,1,2
108,1,2,3,9,1,1,0,0,1,0,1
109,0,2,2,9,1,1,0,0,1,0,1
110,0,3,1,9,1,1,0,0,1,0,1
111,1,4,7,7,2,1,0,0,3,0,1
112,1,3,5,7,2,2,0,0,3,0,3
113,1,3,7,9,2,1,0,1,5,0,1
114,0,3,7,7,2,3,0,1,3,0,3
115,0,3,6,9,2,1,1,2,3,0,3
116,0,3,6,7,2,1,0,0,1,0,1
117,0,3,1,9,1,3,0,0,4,1,1
120,1,2,3,9,2,3,0,0,3,0,1
121,1,2,4,7,2,3,0,0,2,1,1
122,1,2,1,9,1,3,0,0,2,1,2
123,1,2,1,9,1,1,0,0,1,0,1
124,0,3,1,7,2,1,1,1,1,0,1
125,0,2,1,7,1,1,0,0,1,0,3
126,1,3,7,9,2,4,1,2,5,1,3
127,1,4,6,9,2,5,1,2,4,1,2
128,0,3,7,9,2,5,1,2,5,1,4
129,1,3,7,9,2,1,0,0,3,0,1
130,1,3,3,9,1,1,0,0,1,0,1
131,1,3,3,9,2,1,0,0,2,0,1
132,1,2,7,9,2,3,0,0,3,1,3
133,1,2,1,7,1,3,0,0,1,1,1
134,0,2,1,7,1,1,0,0,1,0,1
135,0,2,1,9,1,1,0,0,1,0,1
136,0,2,6,7,2,1,0,0,3,0,1
137,1,2,2,9,1,6,0,1,1,0,0
138,1,2,3,9,1,1,0,0,1,0,0
139,1,2,5,7,2,1,0,0,2,0,1
140,1,3,4,5,2,3,0,0,3,1,2
141,1,3,4,5,2,3,0,0,2,1,2
142,1,2,1,7,1,3,1,0,2,0,2
143,1,3,6,9,2,1,0,0,4,0,0
145,1,2,2,7,1,1,0,0,1,0,1
147,1,3,5,5,2,3,0,0,2,1,2
149,1,3,3,7,2,3,1,0,3,1,3
151,0,2,4,6,2,1,0,0,2,0,1
152,1,3,7,7,2,3,0,1,5,0,3
153,1,3,6,9,2,2,0,0,3,1,2
155,0,3,6,6,2,3,1,0,2,1,1
156,1,3,3,7,2,3,1,0,3,0,3
160,1,2,4,7,2,1,1,0,1,0,1
161,1,3,6,7,2,2,0,0,3,0,1
164,1,2,1,7,1,1,0,0,1,0,1
166,1,3,3,6,4,2,0,1,2,1,1
167,1,3,6,7,2,5,1,2,3,1,2
168,0,2,2,7,1,1,0,0,1,0,1
169,0,3,3,3,2,5,1,2,2,1,1
170,1,4,7,5,2,5,1,2,4,1,3
172,0,3,6,6,2,4,1,2,6,1,1
173,0,3,5,7,2,3,1,0,4,1,3
176,1,2,1,6,2,1,0,0,1,0,1
178,1,4,5,7,2,5,0,2,4,1,2
179,0,3,1,5,4,2,0,0,4,1,1
182,0,3,6,7,2,3,1,1,6,1,1
184,1,2,1,7,1,3,0,0,3,0,1
185,1,3,4,7,2,3,1,0,4,0,2
187,0,2,1,7,1,3,0,0,3,1,3
190,0,2,7,6,4,1,0,0,2,0,1
193,0,3,6,7,2,1,0,0,2,0,0
200,0,3,3,5,2,1,1,0,1,0,1
202,1,2,1,7,1,1,0,0,1,0,1
203,0,5,7,9,2,3,0,0,5,1,3
206,0,3,5,7,2,2,0,0,3,0,3
208,0,3,3,5,2,5,1,2,2,1,1
211,0,3,7,7,2,3,1,0,7,1,1
213,1,4,4,6,2,5,1,2,4,1,1
217,1,2,2,7,2,2,0,2,1,1,1
219,1,3,5,7,2,5,1,0,3,1,2
221,0,3,3,5,2,1,1,0,1,0,1
222,0,4,7,9,2,5,1,2,7,1,2
223,0,3,1,6,2,1,0,0,1,0,1
226,1,3,6,9,2,3,1,0,5,1,2
227,1,3,3,7,2,3,0,2,2,1,1
229,0,3,3,5,2,2,1,0,1,0,1
231,1,3,5,7,2,5,1,0,3,1,2
233,1,3,6,7,2,3,1,0,3,0,2
234,1,3,7,7,2,2,0,0,4,1,2
235,1,3,6,9,2,3,0,2,5,1,1
236,1,4,6,7,2,4,1,2,6,1,2
237,1,3,6,7,2,1,0,0,5,0,1
240,0,2,3,7,1,1,0,0,3,0,1
242,0,3,6,7,2,3,1,0,3,0,2
245,1,3,3,6,2,4,1,1,4,1,1
246,0,3,3,5,2,2,1,0,1,0,1
248,1,4,7,6,2,6,2,2,6,1,3
249,0,3,3,7,2,4,0,1,4,1,1
250,1,2,2,7,1,4,1,0,4,1,3
253,0,3,3,7,2,3,0,1,3,1,1
254,1,3,4,6,2,4,1,1,4,1,1
255,1,2,7,7,2,1,0,0,2,1,0
257,0,4,7,9,2,5,1,2,6,1,2
259,1,2,4,7,2,5,1,1,3,1,2
260,0,3,3,5,2,2,1,0,1,0,1
261,0,2,7,9,2,2,0,0,6,1,3
262,1,2,4,7,2,1,1,0,3,0,1
263,0,3,4,9,2,5,1,0,4,1,2
267,0,3,4,9,1,1,0,0,1,0,1
270,1,3,5,6,2,4,1,1,4,1,1
271,1,3,4,5,2,4,1,1,4,1,1
272,1,4,5,6,2,6,2,2,4,1,2
273,0,3,3,7,2,2,0,0,4,0,1
275,0,3,3,5,2,2,1,0,1,0,1
277,0,4,7,7,2,3,1,0,4,1,1
278,1,3,4,6,2,4,1,1,4,1,1
279,1,3,7,7,2,5,1,2,7,0,1
281,1,3,7,7,2,2,0,0,4,1,1
283,1,3,5,7,2,5,1,0,3,1,2
285,0,4,5,6,2,6,1,2,4,1,2
286,1,5,5,6,2,5,2,2,3,1,1
287,0,2,1,7,1,1,0,0,1,0,1
288,0,3,3,7,2,4,0,1,4,1,1
289,1,3,5,7,2,3,1,0,3,1,3
290,0,3,6,7,2,3,1,0,6,1,3
291,0,3,4,5,2,4,1,1,4,1,1
292,1,3,7,7,2,4,1,2,6,0,1
293,1,4,7,6,2,4,1,1,5,1,3
294,1,2,7,7,2,1,0,0,2,1,1
296,0,3,7,9,2,2,0,0,5,1,1
297,1,2,6,7,2,1,0,0,2,1,0
299,1,3,6,7,2,4,1,1,4,1,1
302,1,5,5,6,2,2,0,2,1,1,1
314,0,3,3,5,2,1,0,0,1,0,1
316,0,2,3,6,2,1,0,0,3,0,1
317,1,3,6,6,2,4,1,1,4,1,1
319,1,4,6,7,2,5,1,2,5,1,2
326,1,3,5,6,2,3,1,0,2,1,1
328,1,3,5,7,2,4,1,1,4,1,1
330,1,4,6,6,2,4,1,1,4,1,3
332,0,3,7,9,2,2,0,0,4,1,1
343,1,4,5,6,2,3,1,0,3,1,1
346,1,3,6,7,2,4,1,1,4,1,1
347,0,3,3,7,2,4,0,2,4,1,1
348,0,3,4,6,2,1,0,0,1,0,1
349,1,3,6,9,2,1,0,0,2,1,1
354,1,2,5,7,2,3,0,0,2,1,3
355,1,2,1,7,1,3,0,0,4,1,2
357,0,4,5,6,2,5,1,2,4,1,1
358,1,2,2,7,1,3,0,1,7,1,2
360,1,3,6,7,2,4,1,1,3,1,2
362,1,3,5,5,2,4,1,1,3,1,1
366,1,2,2,7,1,3,0,0,5,1,2
368,1,3,5,7,2,3,1,0,6,1,1
370,1,4,6,7,2,2,0,0,4,0,2
381,1,3,5,7,2,1,0,0,6,1,2
390,0,2,5,7,2,4,0,0,6,1,1
394,1,2,2,7,1,3,1,1,2,0,1
398,0,2,3,7,2,2,0,0,3,1,2
400,1,3,6,7,2,2,0,0,4,1,1
406,0,4,3,7,2,1,0,0,1,1,0
408,1,2,3,7,1,3,0,0,4,1,1
414,1,2,3,9,1,3,0,0,3,1,2
415,1,2,5,7,2,2,0,0,2,0,2
418,0,4,5,7,2,2,0,0,4,1,1
420,0,3,6,6,2,4,1,1,4,1,1
423,1,2,2,7,2,2,0,0,4,1,1
426,1,3,4,6,2,1,0,0,2,0,3
427,1,2,4,7,2,3,0,0,3,1,1
432,1,2,2,7,1,3,0,0,7,1,2
435,0,2,1,7,1,6,1,2,5,1,4
437,1,3,5,7,2,1,0,0,4,1,1
438,0,2,3,7,2,3,0,0,4,1,1
440,1,3,5,7,2,3,1,1,4,1,1
441,1,3,5,7,2,2,0,0,5,1,1
446,1,2,2,7,2,3,0,0,2,1,1
447,1,2,6,9,2,1,0,0,2,1,0
451,0,3,3,6,2,3,0,1,5,1,2
453,1,2,3,7,1,2,0,1,2,1,1
456,1,3,5,6,2,1,0,0,3,1,2
457,1,1,1,7,1,4,1,0,1,1,1
460,1,3,5,7,2,3,0,0,3,1,2
465,1,3,5,6,2,4,2,0,3,1,2
470,0,4,7,7,2,3,2,0,6,1,3
475,1,3,6,7,2,1,0,0,3,0,1
485,1,2,2,7,1,3,0,1,1,1,3
490,1,3,7,9,2,3,1,0,4,1,2
493,1,1,1,5,1,3,1,0,2,0,1
496,1,4,6,7,2,3,1,0,5,1,1
498,0,3,6,7,2,1,1,0,4,0,2
503,0,3,3,6,4,1,0,0,2,0,1
504,1,2,6,9,2,2,0,0,4,1,1
508,1,3,2,6,2,4,1,2,2,1,1
509,1,4,5,7,2,6,1,2,5,1,1
510,0,3,2,5,4,2,0,0,4,0,2
512,1,2,3,7,2,6,1,2,7,1,4
517,1,2,4,7,2,2,0,0,3,0,2
528,0,3,3,6,2,3,0,1,2,1,2
539,1,4,5,7,2,4,1,1,3,0,2
540,1,3,6,7,2,3,1,0,6,1,1
541,1,4,7,7,2,5,1,2,5,1,3
554,1,3,5,7,2,2,0,0,2,0,2
563,0,4,7,7,2,4,2,0,6,1,3
566,1,3,5,7,2,2,0,0,4,1,2
568,1,3,4,6,2,2,0,0,2,1,2
569,1,2,4,6,4,4,1,0,4,1,2
572,1,2,6,7,2,4,2,0,3,1,3
573,1,3,4,7,2,1,0,0,3,0,1
576,1,2,6,7,2,3,0,0,4,1,3
578,0,3,5,6,2,4,1,1,4,1,1
580,1,2,3,7,2,2,0,0,1,0,1
588,1,3,4,7,2,5,2,1,3,0,1
590,1,2,3,6,2,3,0,0,3,1,2
591,1,3,6,7,2,3,1,2,4,1,3
592,1,2,6,7,2,1,0,0,2,1,0
595,0,3,6,7,2,4,1,1,4,1,1
604,1,3,4,6,2,1,0,0,2,0,1
607,0,2,2,7,2,3,0,0,4,1,2
612,1,2,3,7,1,3,0,0,3,1,2
614,1,3,6,9,2,5,1,2,4,1,3
616,0,3,5,6,2,4,1,1,4,1,1
618,1,3,5,7,2,2,0,0,2,0,3
623,0,3,4,6,2,3,0,1,5,1,2
624,1,4,6,7,2,5,1,2,5,1,2
628,1,3,3,7,2,4,1,1,3,1,2
632,1,5,6,7,2,2,0,0,3,1,1
638,1,3,4,7,2,5,1,2,2,1,2
639,0,3,3,7,2,1,0,0,1,0,0
643,0,4,7,9,2,5,1,2,7,1,3
645,1,4,6,6,2,3,1,0,3,1,0
646,1,3,5,6,2,3,0,0,5,1,5
647,1,2,2,2,2,6,0,2,2,0,2
648,0,4,7,7,2,4,2,0,6,1,2
649,0,3,5,7,2,1,0,0,2,1,1
659,0,4,3,6,2,3,1,1,4,1,2
661,1,3,4,6,2,2,0,0,3,1,2
663,0,3,6,7,2,5,1,2,4,0,2
667,1,3,4,6,2,4,1,1,4,1,2
668,1,2,4,7,2,1,0,0,3,0,1
669,1,3,5,7,2,3,1,0,4,1,1
670,0,2,2,7,1,1,0,0,2,0,1
678,0,3,7,7,2,1,0,0,3,1,1
679,1,3,5,7,2,4,1,1,4,1,1
681,1,3,3,7,2,3,0,0,2,1,1
685,1,2,2,6,2,3,1,0,2,1,2
688,1,1,1,5,1,4,2,0,2,1,2
689,1,2,6,7,2,2,0,1,4,1,2
691,1,4,4,5,2,5,1,2,2,0,2
692,0,5,7,7,2,3,1,0,5,1,1
694,1,4,5,7,2,4,2,0,4,1,2
695,0,3,4,7,2,4,2,0,3,1,0
697,1,2,5,7,2,2,0,0,4,1,1
698,0,3,7,9,2,2,0,0,5,1,1
712,1,3,6,7,2,2,0,0,5,1,1
722,1,3,6,7,2,2,0,0,5,1,1
725,1,4,5,6,2,3,1,0,2,1,2
726,1,3,3,7,4,5,1,0,3,0,1
728,0,4,5,7,2,3,1,0,4,1,1
731,1,2,2,6,1,5,0,0,2,0,3
735,1,2,2,6,1,3,3,0,4,0,2
736,0,3,6,7,2,4,1,1,3,0,1
738,1,4,3,6,2,2,0,0,3,0,2
740,1,3,2,5,2,3,1,0,3,1,1
743,1,2,2,7,2,2,2,2,1,1,2
745,1,3,6,7,2,2,0,2,5,1,1
748,1,3,5,6,2,3,0,0,3,0,2
750,1,3,5,7,2,4,1,1,2,1,3
755,1,3,6,7,2,3,1,0,6,1,1
757,1,2,3,7,2,4,0,1,4,1,1
758,1,3,7,7,2,2,0,0,3,0,1
760,1,3,3,7,2,3,1,2,3,1,3
768,1,3,2,6,2,3,1,0,2,1,1
771,1,3,5,6,2,4,1,1,3,1,1
772,1,3,6,7,2,3,0,0,5,0,2
779,0,4,4,5,2,8,2,2,3,1,4
781,1,3,6,7,2,1,0,0,3,0,2
782,1,2,6,7,2,1,0,0,2,1,0
791,0,3,6,7,2,3,1,0,3,1,2
792,1,2,3,6,2,6,1,1,4,1,2
794,1,3,7,7,2,2,0,0,5,1,1
795,0,3,5,6,2,3,1,0,4,1,2
797,1,3,3,6,2,2,0,0,2,1,1
799,1,3,7,7,2,3,1,0,5,1,2
800,0,5,5,7,2,3,1,0,6,1,2
801,1,3,7,6,2,2,0,0,4,1,1
802,1,3,5,7,2,2,0,0,2,1,2
806,1,3,5,7,2,1,0,0,2,1,2
807,0,3,6,7,2,4,1,0,6,1,3
808,1,2,3,7,1,3,0,0,3,1,3
809,0,3,2,7,2,5,2,0,2,0,3
811,1,2,2,7,2,2,5,2,4,1,2
816,0,4,5,6,2,5,2,0,3,1,1
818,1,3,4,7,2,2,0,0,2,0,1
823,0,4,1,5,2,3,0,0,1,1,0
824,0,3,4,7,2,4,1,1,4,1,3
826,1,4,4,6,2,3,1,0,2,1,1
831,0,3,4,6,2,4,2,0,3,0,2
832,1,3,5,7,1,3,0,0,3,1,1
835,1,2,3,6,2,1,1,0,1,0,1
836,0,3,5,9,2,4,1,1,4,1,2
839,0,3,5,7,2,2,0,0,3,1,3
840,1,3,4,7,2,2,0,0,3,1,2
841,1,3,3,5,4,3,0,0,3,1,2
843,1,2,4,6,2,5,1,0,3,1,1
845,1,3,6,7,2,3,1,0,3,0,3
847,1,3,4,7,2,3,0,1,2,1,2
855,1,4,6,7,2,5,2,1,4,1,2
860,1,2,1,6,1,3,0,0,2,0,3
861,1,2,6,7,2,3,0,0,3,1,3
862,1,2,3,5,2,3,0,0,2,1,1
863,1,3,4,6,2,1,1,0,2,0,1
864,0,3,7,7,2,3,0,0,7,1,2
865,1,2,1,7,1,4,0,0,2,1,1
866,0,3,4,6,2,1,0,0,3,0,2
867,1,2,6,6,2,5,1,2,4,1,2
868,1,4,7,7,2,1,0,0,5,0,2
869,1,3,6,7,2,5,1,2,5,1,3
870,0,3,6,7,2,3,1,0,4,1,2
