ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Cooking_fre
1,1,2,3,9,1,1,0,0,1,0,1
2,1,2,3,9,1,1,0,0,1,0,1
3,0,4,7,9,2,2,0,0,7,1,2
4,0,3,5,9,2,5,0,2,5,1,5
5,1,3,6,9,2,3,1,0,3,1,3
6,0,3,6,9,2,3,1,1,3,1,5
7,0,3,1,9,1,1,0,0,1,0,1
8,1,3,2,9,1,1,0,0,1,0,1
9,0,3,7,9,2,1,0,0,2,0,2
11,0,2,2,9,1,1,0,0,1,0,1
12,1,3,7,9,2,1,0,0,4,0,2
13,0,4,6,9,2,5,1,3,2,0,5
16,1,3,7,7,2,1,0,0,2,0,2
18,0,3,5,9,2,1,0,0,2,0,1
19,0,3,6,9,2,2,0,0,3,0,2
20,0,4,7,9,2,5,1,2,4,0,5
21,1,3,4,9,1,1,0,0,1,0,3
22,1,3,7,7,2,3,1,1,3,0,2
23,0,3,1,9,1,2,0,0,1,0,2
24,1,2,1,9,1,1,0,0,1,0,1
25,0,2,4,9,1,1,0,0,3,0,2
26,0,2,1,9,1,2,1,1,3,1,4
28,0,3,7,9,2,1,0,0,3,0,1
29,0,3,5,7,2,1,0,0,5,0,2
30,1,3,1,9,1,1,0,0,1,0,1
31,1,2,1,7,1,5,0,1,2,1,5
32,1,2,5,9,2,6,0,0,6,0,1
33,0,3,7,9,2,1,0,0,4,0,1
34,0,3,6,9,2,6,0,0,6,0,3
35,0,2,1,7,1,1,0,0,1,0,1
37,0,4,7,7,2,2,0,1,6,1,3
38,0,3,4,9,2,1,0,0,2,0,1
39,1,2,2,7,2,2,0,0,2,0,3
41,1,3,4,9,2,1,0,0,1,0,1
42,0,2,1,9,1,1,0,0,1,0,3
43,0,2,1,9,1,3,0,1,3,1,1
44,1,2,1,6,2,1,0,0,5,1,5
46,0,3,1,9,1,2,0,0,1,1,1
47,1,2,3,9,1,3,0,0,4,1,4
48,0,3,4,9,2,2,0,0,3,0,4
49,0,2,3,7,1,1,0,0,7,0,3
50,1,3,1,9,1,1,0,0,1,0,1
51,0,2,2,9,1,1,0,0,3,0,3
52,1,3,6,9,2,1,0,0,7,0,1
53,1,3,2,6,2,3,0,0,5,0,5
54,0,3,6,9,2,1,0,0,2,0,3
55,0,2,1,9,1,1,0,0,1,0,2
56,0,3,6,9,2,3,1,0,4,1,3
57,0,3,7,9,2,1,0,0,4,0,1
58,0,3,5,9,2,1,0,2,2,1,1
59,1,3,7,9,2,1,0,0,7,1,2
60,1,3,7,9,2,2,0,0,3,0,3
61,0,3,6,7,2,4,1,2,4,0,5
63,0,3,6,7,2,1,0,0,2,0,2
65,0,2,6,9,2,1,0,0,3,1,4
66,0,3,6,9,2,1,0,0,2,0,1
67,1,3,5,9,2,4,1,1,4,0,5
68,0,2,1,9,1,2,0,0,2,1,4
69,0,3,5,9,2,1,0,0,2,0,3
70,0,3,6,9,2,2,0,0,5,0,1
71,0,2,3,7,1,1,0,0,1,0,1
72,0,3,4,9,2,1,0,0,2,0,2
73,1,3,7,7,2,1,0,0,4,0,1
74,1,3,2,9,1,2,0,0,1,0,3
75,0,3,7,9,2,4,1,1,4,1,5
76,1,3,5,7,2,1,0,0,2,1,2
77,0,4,7,9,2,3,1,0,7,1,4
78,0,3,2,9,1,1,0,0,1,0,3
79,0,3,1,9,1,1,0,0,1,0,1
80,1,3,2,9,1,1,0,0,1,0,5
81,0,3,6,9,2,4,0,1,4,0,3
82,1,2,1,9,1,1,0,0,1,0,3
84,1,2,4,7,2,1,0,0,1,0,2
85,1,2,7,9,1,5,0,1,7,1,3
86,1,2,7,9,2,2,0,0,4,0,4
87,0,2,7,9,2,3,0,0,6,1,2
88,0,3,6,9,2,6,2,2,5,1,5
89,1,3,1,9,1,1,0,0,1,0,3
90,0,4,6,7,2,2,1,0,4,0,3
91,0,3,6,9,2,3,0,1,2,0,3
92,0,2,1,7,1,4,1,0,5,1,4
93,0,3,6,9,2,1,0,0,2,0,3
94,0,3,5,9,2,1,0,0,2,0,2
95,1,3,1,9,1,3,0,0,7,1,3
96,0,3,2,9,1,1,0,0,1,0,1
98,0,5,7,9,2,3,1,0,6,0,3
99,0,2,1,9,1,1,0,0,1,0,2
101,0,3,7,9,2,2,0,0,4,0,3
102,1,3,6,9,2,1,0,0,2,0,4
103,0,3,3,9,2,1,0,0,1,0,3
104,0,2,5,7,2,2,0,0,3,0,3
105,0,5,4,9,4,2,0,2,4,0,3
106,1,4,7,9,2,3,1,2,4,1,4
107,0,3,1,9,1,3,0,1,4,1,1
108,1,2,3,9,1,1,0,0,1,0,1
109,0,2,2,9,1,1,0,0,1,0,1
110,0,3,1,9,1,1,0,0,1,0,1
111,1,4,7,7,2,1,0,0,3,0,1
112,1,3,5,7,2,2,0,0,3,0,4
113,1,3,7,9,2,1,0,1,5,0,1
114,0,3,7,7,2,3,0,1,3,0,4
115,0,3,6,9,2,1,1,2,3,0,4
116,0,3,6,7,2,1,0,0,1,0,2
117,0,3,1,9,1,3,0,0,4,1,5
120,1,2,3,9,2,3,0,0,3,0,3
121,1,2,4,7,2,3,0,0,2,1,5
122,1,2,1,9,1,3,0,0,2,1,1
123,1,2,1,9,1,1,0,0,1,0,1
124,0,3,1,7,2,1,1,1,1,0,4
125,0,2,1,7,1,1,0,0,1,0,1
126,1,3,7,9,2,4,1,2,5,1,4
127,1,4,6,9,2,5,1,2,4,1,5
128,0,3,7,9,2,5,1,2,5,1,5
129,1,3,7,9,2,1,0,0,3,0,3
130,1,3,3,9,1,1,0,0,1,0,1
131,1,3,3,9,2,1,0,0,2,0,3
132,1,2,7,9,2,3,0,0,3,1,2
133,1,2,1,7,1,3,0,0,1,1,5
134,0,2,1,7,1,1,0,0,1,0,1
135,0,2,1,9,1,1,0,0,1,0,2
136,0,2,6,7,2,1,0,0,3,0,2
137,1,2,2,9,1,6,0,1,1,0,5
138,1,2,3,9,1,1,0,0,1,0,1
139,1,2,5,7,2,1,0,0,2,0,1
140,1,3,4,5,2,3,0,0,3,1,3
141,1,3,4,5,2,3,0,0,2,1,3
142,1,2,1,7,1,3,1,0,2,0,4
143,1,3,6,9,2,1,0,0,4,0,3
145,1,2,2,7,1,1,0,0,1,0,1
147,1,3,5,5,2,3,0,0,2,1,2
149,1,3,3,7,2,3,1,0,3,1,4
151,0,2,4,6,2,1,0,0,2,0,2
152,1,3,7,7,2,3,0,1,5,0,4
153,1,3,6,9,2,2,0,0,3,1,4
155,0,3,6,6,2,3,1,0,2,1,2
156,1,3,3,7,2,3,1,0,3,0,5
160,1,2,4,7,2,1,1,0,1,0,4
161,1,3,6,7,2,2,0,0,3,0,3
164,1,2,1,7,1,1,0,0,1,0,1
166,1,3,3,6,4,2,0,1,2,1,3
167,1,3,6,7,2,5,1,2,3,1,4
168,0,2,2,7,1,1,0,0,1,0,1
169,0,3,3,3,2,5,1,2,2,1,3
170,1,4,7,5,2,5,1,2,4,1,3
172,0,3,6,6,2,4,1,2,6,1,4
173,0,3,5,7,2,3,1,0,4,1,4
176,1,2,1,6,2,1,0,0,1,0,1
178,1,4,5,7,2,5,0,2,4,1,4
179,0,3,1,5,4,2,0,0,4,1,3
182,0,3,6,7,2,3,1,1,6,1,5
184,1,2,1,7,1,3,0,0,3,0,1
185,1,3,4,7,2,3,1,0,4,0,5
187,0,2,1,7,1,3,0,0,3,1,3
190,0,2,7,6,4,1,0,0,2,0,2
193,0,3,6,7,2,1,0,0,2,0,3
200,0,3,3,5,2,1,1,0,1,0,3
202,1,2,1,7,1,1,0,0,1,0,1
203,0,5,7,9,2,3,0,0,5,1,3
206,0,3,5,7,2,2,0,0,3,0,3
208,0,3,3,5,2,5,1,2,2,1,4
211,0,3,7,7,2,3,1,0,7,1,4
213,1,4,4,6,2,5,1,2,4,1,3
217,1,2,2,7,2,2,0,2,1,1,1
219,1,3,5,7,2,5,1,0,3,1,4
221,0,3,3,5,2,1,1,0,1,0,3
222,0,4,7,9,2,5,1,2,7,1,3
223,0,3,1,6,2,1,0,0,1,0,2
226,1,3,6,9,2,3,1,0,5,1,3
227,1,3,3,7,2,3,0,2,2,1,5
229,0,3,3,5,2,2,1,0,1,0,3
231,1,3,5,7,2,5,1,0,3,1,4
233,1,3,6,7,2,3,1,0,3,0,3
234,1,3,7,7,2,2,0,0,4,1,3
235,1,3,6,9,2,3,0,2,5,1,3
236,1,4,6,7,2,4,1,2,6,1,5
237,1,3,6,7,2,1,0,0,5,0,2
240,0,2,3,7,1,1,0,0,3,0,3
242,0,3,6,7,2,3,1,0,3,0,3
245,1,3,3,6,2,4,1,1,4,1,3
246,0,3,3,5,2,2,1,0,1,0,3
248,1,4,7,6,2,6,2,2,6,1,3
249,0,3,3,7,2,4,0,1,4,1,5
250,1,2,2,7,1,4,1,0,4,1,3
253,0,3,3,7,2,3,0,1,3,1,4
254,1,3,4,6,2,4,1,1,4,1,3
255,1,2,7,7,2,1,0,0,2,1,5
257,0,4,7,9,2,5,1,2,6,1,4
259,1,2,4,7,2,5,1,1,3,1,3
260,0,3,3,5,2,2,1,0,1,0,3
261,0,2,7,9,2,2,0,0,6,1,2
262,1,2,4,7,2,1,1,0,3,0,5
263,0,3,4,9,2,5,1,0,4,1,4
267,0,3,4,9,1,1,0,0,1,0,4
270,1,3,5,6,2,4,1,1,4,1,3
271,1,3,4,5,2,4,1,1,4,1,2
272,1,4,5,6,2,6,2,2,4,1,3
273,0,3,3,7,2,2,0,0,4,0,4
275,0,3,3,5,2,2,1,0,1,0,3
277,0,4,7,7,2,3,1,0,4,1,4
278,1,3,4,6,2,4,1,1,4,1,3
279,1,3,7,7,2,5,1,2,7,0,4
281,1,3,7,7,2,2,0,0,4,1,2
283,1,3,5,7,2,5,1,0,3,1,4
285,0,4,5,6,2,6,1,2,4,1,3
286,1,5,5,6,2,5,2,2,3,1,2
287,0,2,1,7,1,1,0,0,1,0,1
288,0,3,3,7,2,4,0,1,4,1,5
289,1,3,5,7,2,3,1,0,3,1,4
290,0,3,6,7,2,3,1,0,6,1,4
291,0,3,4,5,2,4,1,1,4,1,3
292,1,3,7,7,2,4,1,2,6,0,2
293,1,4,7,6,2,4,1,1,5,1,3
294,1,2,7,7,2,1,0,0,2,1,4
296,0,3,7,9,2,2,0,0,5,1,2
297,1,2,6,7,2,1,0,0,2,1,4
299,1,3,6,7,2,4,1,1,4,1,4
302,1,5,5,6,2,2,0,2,1,1,5
314,0,3,3,5,2,1,0,0,1,0,4
316,0,2,3,6,2,1,0,0,3,0,3
317,1,3,6,6,2,4,1,1,4,1,3
319,1,4,6,7,2,5,1,2,5,1,5
326,1,3,5,6,2,3,1,0,2,1,3
328,1,3,5,7,2,4,1,1,4,1,3
330,1,4,6,6,2,4,1,1,4,1,3
332,0,3,7,9,2,2,0,0,4,1,4
343,1,4,5,6,2,3,1,0,3,1,3
346,1,3,6,7,2,4,1,1,4,1,4
347,0,3,3,7,2,4,0,2,4,1,5
348,0,3,4,6,2,1,0,0,1,0,4
349,1,3,6,9,2,1,0,0,2,1,5
354,1,2,5,7,2,3,0,0,2,1,3
355,1,2,1,7,1,3,0,0,4,1,3
357,0,4,5,6,2,5,1,2,4,1,3
358,1,2,2,7,1,3,0,1,7,1,4
360,1,3,6,7,2,4,1,1,3,1,3
362,1,3,5,5,2,4,1,1,3,1,3
366,1,2,2,7,1,3,0,0,5,1,5
368,1,3,5,7,2,3,1,0,6,1,5
370,1,4,6,7,2,2,0,0,4,0,3
381,1,3,5,7,2,1,0,0,6,1,5
390,0,2,5,7,2,4,0,0,6,1,5
394,1,2,2,7,1,3,1,1,2,0,4
398,0,2,3,7,2,2,0,0,3,1,4
400,1,3,6,7,2,2,0,0,4,1,3
406,0,4,3,7,2,1,0,0,1,1,5
408,1,2,3,7,1,3,0,0,4,1,2
414,1,2,3,9,1,3,0,0,3,1,5
415,1,2,5,7,2,2,0,0,2,0,3
418,0,4,5,7,2,2,0,0,4,1,5
420,0,3,6,6,2,4,1,1,4,1,4
423,1,2,2,7,2,2,0,0,4,1,3
426,1,3,4,6,2,1,0,0,2,0,3
427,1,2,4,7,2,3,0,0,3,1,5
432,1,2,2,7,1,3,0,0,7,1,2
435,0,2,1,7,1,6,1,2,5,1,5
437,1,3,5,7,2,1,0,0,4,1,3
438,0,2,3,7,2,3,0,0,4,1,3
440,1,3,5,7,2,3,1,1,4,1,3
441,1,3,5,7,2,2,0,0,5,1,5
446,1,2,2,7,2,3,0,0,2,1,4
447,1,2,6,9,2,1,0,0,2,1,4
451,0,3,3,6,2,3,0,1,5,1,3
453,1,2,3,7,1,2,0,1,2,1,5
456,1,3,5,6,2,1,0,0,3,1,3
457,1,1,1,7,1,4,1,0,1,1,5
460,1,3,5,7,2,3,0,0,3,1,5
465,1,3,5,6,2,4,2,0,3,1,3
470,0,4,7,7,2,3,2,0,6,1,4
475,1,3,6,7,2,1,0,0,3,0,3
485,1,2,2,7,1,3,0,1,1,1,3
490,1,3,7,9,2,3,1,0,4,1,4
493,1,1,1,5,1,3,1,0,2,0,2
496,1,4,6,7,2,3,1,0,5,1,4
498,0,3,6,7,2,1,1,0,4,0,3
503,0,3,3,6,4,1,0,0,2,0,3
504,1,2,6,9,2,2,0,0,4,1,4
508,1,3,2,6,2,4,1,2,2,1,4
509,1,4,5,7,2,6,1,2,5,1,5
510,0,3,2,5,4,2,0,0,4,0,3
512,1,2,3,7,2,6,1,2,7,1,5
517,1,2,4,7,2,2,0,0,3,0,4
528,0,3,3,6,2,3,0,1,2,1,2
539,1,4,5,7,2,4,1,1,3,0,5
540,1,3,6,7,2,3,1,0,6,1,5
541,1,4,7,7,2,5,1,2,5,1,4
554,1,3,5,7,2,2,0,0,2,0,5
563,0,4,7,7,2,4,2,0,6,1,4
566,1,3,5,7,2,2,0,0,4,1,3
568,1,3,4,6,2,2,0,0,2,1,4
569,1,2,4,6,4,4,1,0,4,1,4
572,1,2,6,7,2,4,2,0,3,1,5
573,1,3,4,7,2,1,0,0,3,0,5
576,1,2,6,7,2,3,0,0,4,1,5
578,0,3,5,6,2,4,1,1,4,1,3
580,1,2,3,7,2,2,0,0,1,0,4
588,1,3,4,7,2,5,2,1,3,0,3
590,1,2,3,6,2,3,0,0,3,1,3
591,1,3,6,7,2,3,1,2,4,1,4
592,1,2,6,7,2,1,0,0,2,1,5
595,0,3,6,7,2,4,1,1,4,1,3
604,1,3,4,6,2,1,0,0,2,0,4
607,0,2,2,7,2,3,0,0,4,1,4
612,1,2,3,7,1,3,0,0,3,1,3
614,1,3,6,9,2,5,1,2,4,1,5
616,0,3,5,6,2,4,1,1,4,1,3
618,1,3,5,7,2,2,0,0,2,0,3
623,0,3,4,6,2,3,0,1,5,1,3
624,1,4,6,7,2,5,1,2,5,1,5
628,1,3,3,7,2,4,1,1,3,1,3
632,1,5,6,7,2,2,0,0,3,1,4
638,1,3,4,7,2,5,1,2,2,1,5
639,0,3,3,7,2,1,0,0,1,0,4
643,0,4,7,9,2,5,1,2,7,1,4
645,1,4,6,6,2,3,1,0,3,1,5
646,1,3,5,6,2,3,0,0,5,1,3
647,1,2,2,2,2,6,0,2,2,0,4
648,0,4,7,7,2,4,2,0,6,1,3
649,0,3,5,7,2,1,0,0,2,1,4
659,0,4,3,6,2,3,1,1,4,1,5
661,1,3,4,6,2,2,0,0,3,1,3
663,0,3,6,7,2,5,1,2,4,0,5
667,1,3,4,6,2,4,1,1,4,1,3
668,1,2,4,7,2,1,0,0,3,0,4
669,1,3,5,7,2,3,1,0,4,1,5
670,0,2,2,7,1,1,0,0,2,0,4
678,0,3,7,7,2,1,0,0,3,1,3
679,1,3,5,7,2,4,1,1,4,1,3
681,1,3,3,7,2,3,0,0,2,1,4
685,1,2,2,6,2,3,1,0,2,1,4
688,1,1,1,5,1,4,2,0,2,1,3
689,1,2,6,7,2,2,0,1,4,1,4
691,1,4,4,5,2,5,1,2,2,0,4
692,0,5,7,7,2,3,1,0,5,1,4
694,1,4,5,7,2,4,2,0,4,1,4
695,0,3,4,7,2,4,2,0,3,1,3
697,1,2,5,7,2,2,0,0,4,1,5
698,0,3,7,9,2,2,0,0,5,1,4
712,1,3,6,7,2,2,0,0,5,1,3
722,1,3,6,7,2,2,0,0,5,1,3
725,1,4,5,6,2,3,1,0,2,1,3
726,1,3,3,7,4,5,1,0,3,0,5
728,0,4,5,7,2,3,1,0,4,1,3
731,1,2,2,6,1,5,0,0,2,0,5
735,1,2,2,6,1,3,3,0,4,0,4
736,0,3,6,7,2,4,1,1,3,0,3
738,1,4,3,6,2,2,0,0,3,0,2
740,1,3,2,5,2,3,1,0,3,1,4
743,1,2,2,7,2,2,2,2,1,1,4
745,1,3,6,7,2,2,0,2,5,1,3
748,1,3,5,6,2,3,0,0,3,0,4
750,1,3,5,7,2,4,1,1,2,1,3
755,1,3,6,7,2,3,1,0,6,1,5
757,1,2,3,7,2,4,0,1,4,1,5
758,1,3,7,7,2,2,0,0,3,0,3
760,1,3,3,7,2,3,1,2,3,1,3
768,1,3,2,6,2,3,1,0,2,1,4
771,1,3,5,6,2,4,1,1,3,1,3
772,1,3,6,7,2,3,0,0,5,0,5
779,0,4,4,5,2,8,2,2,3,1,5
781,1,3,6,7,2,1,0,0,3,0,3
782,1,2,6,7,2,1,0,0,2,1,4
791,0,3,6,7,2,3,1,0,3,1,4
792,1,2,3,6,2,6,1,1,4,1,5
794,1,3,7,7,2,2,0,0,5,1,3
795,0,3,5,6,2,3,1,0,4,1,4
797,1,3,3,6,2,2,0,0,2,1,4
799,1,3,7,7,2,3,1,0,5,1,3
800,0,5,5,7,2,3,1,0,6,1,3
801,1,3,7,6,2,2,0,0,4,1,3
802,1,3,5,7,2,2,0,0,2,1,3
806,1,3,5,7,2,1,0,0,2,1,5
807,0,3,6,7,2,4,1,0,6,1,4
808,1,2,3,7,1,3,0,0,3,1,5
809,0,3,2,7,2,5,2,0,2,0,4
811,1,2,2,7,2,2,5,2,4,1,4
816,0,4,5,6,2,5,2,0,3,1,4
818,1,3,4,7,2,2,0,0,2,0,4
823,0,4,1,5,2,3,0,0,1,1,3
824,0,3,4,7,2,4,1,1,4,1,5
826,1,4,4,6,2,3,1,0,2,1,4
831,0,3,4,6,2,4,2,0,3,0,3
832,1,3,5,7,1,3,0,0,3,1,4
835,1,2,3,6,2,1,1,0,1,0,5
836,0,3,5,9,2,4,1,1,4,1,3
839,0,3,5,7,2,2,0,0,3,1,5
840,1,3,4,7,2,2,0,0,3,1,4
841,1,3,3,5,4,3,0,0,3,1,4
843,1,2,4,6,2,5,1,0,3,1,4
845,1,3,6,7,2,3,1,0,3,0,5
847,1,3,4,7,2,3,0,1,2,1,3
855,1,4,6,7,2,5,2,1,4,1,5
860,1,2,1,6,1,3,0,0,2,0,4
861,1,2,6,7,2,3,0,0,3,1,3
862,1,2,3,5,2,3,0,0,2,1,3
863,1,3,4,6,2,1,1,0,2,0,3
864,0,3,7,7,2,3,0,0,7,1,3
865,1,2,1,7,1,4,0,0,2,1,4
866,0,3,4,6,2,1,0,0,3,0,3
867,1,2,6,6,2,5,1,2,4,1,5
868,1,4,7,7,2,1,0,0,5,0,3
869,1,3,6,7,2,5,1,2,5,1,5
870,0,3,6,7,2,3,1,0,4,1,2
