ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling
1,1,2,3,9,1,1,0,0,1,0,1,4
2,1,2,3,9,1,1,0,0,1,0,0,0
3,0,4,7,9,2,2,0,0,7,1,1,5
4,0,3,5,9,2,5,0,2,5,1,1,2
5,1,3,6,9,2,3,1,0,3,1,2,4
6,0,3,6,9,2,3,1,1,3,1,1,4
7,0,3,1,9,1,1,0,0,1,0,1,3
8,1,3,2,9,1,1,0,0,1,0,1,5
9,0,3,7,9,2,1,0,0,2,0,1,4
11,0,2,2,9,1,1,0,0,1,0,1,2
12,1,3,7,9,2,1,0,0,4,0,1,5
13,0,4,6,9,2,5,1,3,2,0,1,3
16,1,3,7,7,2,1,0,0,2,0,1,4
18,0,3,5,9,2,1,0,0,2,0,1,5
19,0,3,6,9,2,2,0,0,3,0,2,4
20,0,4,7,9,2,5,1,2,4,0,4,3
21,1,3,4,9,1,1,0,0,1,0,1,4
22,1,3,7,7,2,3,1,1,3,0,1,2
23,0,3,1,9,1,2,0,0,1,0,3,4
24,1,2,1,9,1,1,0,0,1,0,1,3
25,0,2,4,9,1,1,0,0,3,0,1,5
26,0,2,1,9,1,2,1,1,3,1,3,3
28,0,3,7,9,2,1,0,0,3,0,1,2
29,0,3,5,7,2,1,0,0,5,0,2,3
30,1,3,1,9,1,1,0,0,1,0,1,4
31,1,2,1,7,1,5,0,1,2,1,2,3
32,1,2,5,9,2,6,0,0,6,0,4,5
33,0,3,7,9,2,1,0,0,4,0,2,2
34,0,3,6,9,2,6,0,0,6,0,2,4
35,0,2,1,7,1,1,0,0,1,0,1,3
37,0,4,7,7,2,2,0,1,6,1,1,2
38,0,3,4,9,2,1,0,0,2,0,1,4
39,1,2,2,7,2,2,0,0,2,0,4,2
41,1,3,4,9,2,1,0,0,1,0,1,4
42,0,2,1,9,1,1,0,0,1,0,1,4
43,0,2,1,9,1,3,0,1,3,1,1,4
44,1,2,1,6,2,1,0,0,5,1,0,0
46,0,3,1,9,1,2,0,0,1,1,1,5
47,1,2,3,9,1,3,0,0,4,1,2,2
48,0,3,4,9,2,2,0,0,3,0,1,5
49,0,2,3,7,1,1,0,0,7,0,2,5
50,1,3,1,9,1,1,0,0,1,0,1,5
51,0,2,2,9,1,1,0,0,3,0,1,4
52,1,3,6,9,2,1,0,0,7,0,1,3
53,1,3,2,6,2,3,0,0,5,0,3,5
54,0,3,6,9,2,1,0,0,2,0,1,3
55,0,2,1,9,1,1,0,0,1,0,1,5
56,0,3,6,9,2,3,1,0,4,1,3,4
57,0,3,7,9,2,1,0,0,4,0,1,4
58,0,3,5,9,2,1,0,2,2,1,1,3
59,1,3,7,9,2,1,0,0,7,1,3,1
60,1,3,7,9,2,2,0,0,3,0,1,2
61,0,3,6,7,2,4,1,2,4,0,2,5
63,0,3,6,7,2,1,0,0,2,0,1,3
65,0,2,6,9,2,1,0,0,3,1,1,5
66,0,3,6,9,2,1,0,0,2,0,2,2
67,1,3,5,9,2,4,1,1,4,0,2,4
68,0,2,1,9,1,2,0,0,2,1,2,3
69,0,3,5,9,2,1,0,0,2,0,1,4
70,0,3,6,9,2,2,0,0,5,0,1,3
71,0,2,3,7,1,1,0,0,1,0,1,3
72,0,3,4,9,2,1,0,0,2,0,1,4
73,1,3,7,7,2,1,0,0,4,0,1,4
74,1,3,2,9,1,2,0,0,1,0,1,5
75,0,3,7,9,2,4,1,1,4,1,3,2
76,1,3,5,7,2,1,0,0,2,1,2,5
77,0,4,7,9,2,3,1,0,7,1,4,4
78,0,3,2,9,1,1,0,0,1,0,1,4
79,0,3,1,9,1,1,0,0,1,0,1,2
80,1,3,2,9,1,1,0,0,1,0,3,4
81,0,3,6,9,2,4,0,1,4,0,3,6
82,1,2,1,9,1,1,0,0,1,0,1,3
84,1,2,4,7,2,1,0,0,1,0,1,4
85,1,2,7,9,1,5,0,1,7,1,2,2
86,1,2,7,9,2,2,0,0,4,0,1,4
87,0,2,7,9,2,3,0,0,6,1,3,3
88,0,3,6,9,2,6,2,2,5,1,3,3
89,1,3,1,9,1,1,0,0,1,0,1,3
90,0,4,6,7,2,2,1,0,4,0,2,2
91,0,3,6,9,2,3,0,1,2,0,1,3
92,0,2,1,7,1,4,1,0,5,1,4,4
93,0,3,6,9,2,1,0,0,2,0,1,4
94,0,3,5,9,2,1,0,0,2,0,1,3
95,1,3,1,9,1,3,0,0,7,1,4,3
96,0,3,2,9,1,1,0,0,1,0,1,6
98,0,5,7,9,2,3,1,0,6,0,2,2
99,0,2,1,9,1,1,0,0,1,0,1,4
101,0,3,7,9,2,2,0,0,4,0,1,2
102,1,3,6,9,2,1,0,0,2,0,1,3
103,0,3,3,9,2,1,0,0,1,0,4,3
104,0,2,5,7,2,2,0,0,3,0,1,4
105,0,5,4,9,4,2,0,2,4,0,1,2
106,1,4,7,9,2,3,1,2,4,1,2,4
107,0,3,1,9,1,3,0,1,4,1,2,3
108,1,2,3,9,1,1,0,0,1,0,1,3
109,0,2,2,9,1,1,0,0,1,0,1,4
110,0,3,1,9,1,1,0,0,1,0,1,3
111,1,4,7,7,2,1,0,0,3,0,1,3
112,1,3,5,7,2,2,0,0,3,0,3,4
113,1,3,7,9,2,1,0,1,5,0,1,4
114,0,3,7,7,2,3,0,1,3,0,3,5
115,0,3,6,9,2,1,1,2,3,0,3,4
116,0,3,6,7,2,1,0,0,1,0,1,4
117,0,3,1,9,1,3,0,0,4,1,1,4
120,1,2,3,9,2,3,0,0,3,0,1,3
121,1,2,4,7,2,3,0,0,2,1,1,3
122,1,2,1,9,1,3,0,0,2,1,2,4
123,1,2,1,9,1,1,0,0,1,0,1,4
124,0,3,1,7,2,1,1,1,1,0,1,3
125,0,2,1,7,1,1,0,0,1,0,3,3
126,1,3,7,9,2,4,1,2,5,1,3,3
127,1,4,6,9,2,5,1,2,4,1,2,4
128,0,3,7,9,2,5,1,2,5,1,4,3
129,1,3,7,9,2,1,0,0,3,0,1,4
130,1,3,3,9,1,1,0,0,1,0,1,4
131,1,3,3,9,2,1,0,0,2,0,1,3
132,1,2,7,9,2,3,0,0,3,1,3,2
133,1,2,1,7,1,3,0,0,1,1,1,2
134,0,2,1,7,1,1,0,0,1,0,1,5
135,0,2,1,9,1,1,0,0,1,0,1,5
136,0,2,6,7,2,1,0,0,3,0,1,4
137,1,2,2,9,1,6,0,1,1,0,0,0
138,1,2,3,9,1,1,0,0,1,0,0,0
139,1,2,5,7,2,1,0,0,2,0,1,4
140,1,3,4,5,2,3,0,0,3,1,2,5
141,1,3,4,5,2,3,0,0,2,1,2,5
142,1,2,1,7,1,3,1,0,2,0,2,7
143,1,3,6,9,2,1,0,0,4,0,0,0
145,1,2,2,7,1,1,0,0,1,0,1,4
147,1,3,5,5,2,3,0,0,2,1,2,4
149,1,3,3,7,2,3,1,0,3,1,3,4
151,0,2,4,6,2,1,0,0,2,0,1,3
152,1,3,7,7,2,3,0,1,5,0,3,5
153,1,3,6,9,2,2,0,0,3,1,2,3
155,0,3,6,6,2,3,1,0,2,1,1,5
156,1,3,3,7,2,3,1,0,3,0,3,4
160,1,2,4,7,2,1,1,0,1,0,1,4
161,1,3,6,7,2,2,0,0,3,0,1,2
164,1,2,1,7,1,1,0,0,1,0,1,4
166,1,3,3,6,4,2,0,1,2,1,1,5
167,1,3,6,7,2,5,1,2,3,1,2,6
168,0,2,2,7,1,1,0,0,1,0,1,4
169,0,3,3,3,2,5,1,2,2,1,1,4
170,1,4,7,5,2,5,1,2,4,1,3,4
172,0,3,6,6,2,4,1,2,6,1,1,4
173,0,3,5,7,2,3,1,0,4,1,3,3
176,1,2,1,6,2,1,0,0,1,0,1,3
178,1,4,5,7,2,5,0,2,4,1,2,5
179,0,3,1,5,4,2,0,0,4,1,1,4
182,0,3,6,7,2,3,1,1,6,1,1,3
184,1,2,1,7,1,3,0,0,3,0,1,4
185,1,3,4,7,2,3,1,0,4,0,2,5
187,0,2,1,7,1,3,0,0,3,1,3,2
190,0,2,7,6,4,1,0,0,2,0,1,4
193,0,3,6,7,2,1,0,0,2,0,0,0
200,0,3,3,5,2,1,1,0,1,0,1,3
202,1,2,1,7,1,1,0,0,1,0,1,5
203,0,5,7,9,2,3,0,0,5,1,3,3
206,0,3,5,7,2,2,0,0,3,0,3,2
208,0,3,3,5,2,5,1,2,2,1,1,4
211,0,3,7,7,2,3,1,0,7,1,1,5
213,1,4,4,6,2,5,1,2,4,1,1,4
217,1,2,2,7,2,2,0,2,1,1,1,4
219,1,3,5,7,2,5,1,0,3,1,2,5
221,0,3,3,5,2,1,1,0,1,0,1,3
222,0,4,7,9,2,5,1,2,7,1,2,4
223,0,3,1,6,2,1,0,0,1,0,1,2
226,1,3,6,9,2,3,1,0,5,1,2,3
227,1,3,3,7,2,3,0,2,2,1,1,3
229,0,3,3,5,2,2,1,0,1,0,1,3
231,1,3,5,7,2,5,1,0,3,1,2,5
233,1,3,6,7,2,3,1,0,3,0,2,2
234,1,3,7,7,2,2,0,0,4,1,2,3
235,1,3,6,9,2,3,0,2,5,1,1,3
236,1,4,6,7,2,4,1,2,6,1,2,3
237,1,3,6,7,2,1,0,0,5,0,1,4
240,0,2,3,7,1,1,0,0,3,0,1,3
242,0,3,6,7,2,3,1,0,3,0,2,2
245,1,3,3,6,2,4,1,1,4,1,1,3
246,0,3,3,5,2,2,1,0,1,0,1,3
248,1,4,7,6,2,6,2,2,6,1,3,4
249,0,3,3,7,2,4,0,1,4,1,1,3
250,1,2,2,7,1,4,1,0,4,1,3,4
253,0,3,3,7,2,3,0,1,3,1,1,5
254,1,3,4,6,2,4,1,1,4,1,1,3
255,1,2,7,7,2,1,0,0,2,1,0,0
257,0,4,7,9,2,5,1,2,6,1,2,5
259,1,2,4,7,2,5,1,1,3,1,2,3
260,0,3,3,5,2,2,1,0,1,0,1,3
261,0,2,7,9,2,2,0,0,6,1,3,3
262,1,2,4,7,2,1,1,0,3,0,1,4
263,0,3,4,9,2,5,1,0,4,1,2,5
267,0,3,4,9,1,1,0,0,1,0,1,4
270,1,3,5,6,2,4,1,1,4,1,1,4
271,1,3,4,5,2,4,1,1,4,1,1,3
272,1,4,5,6,2,6,2,2,4,1,2,3
273,0,3,3,7,2,2,0,0,4,0,1,3
275,0,3,3,5,2,2,1,0,1,0,1,3
277,0,4,7,7,2,3,1,0,4,1,1,2
278,1,3,4,6,2,4,1,1,4,1,1,4
279,1,3,7,7,2,5,1,2,7,0,1,3
281,1,3,7,7,2,2,0,0,4,1,1,5
283,1,3,5,7,2,5,1,0,3,1,2,5
285,0,4,5,6,2,6,1,2,4,1,2,3
286,1,5,5,6,2,5,2,2,3,1,1,3
287,0,2,1,7,1,1,0,0,1,0,1,5
288,0,3,3,7,2,4,0,1,4,1,1,2
289,1,3,5,7,2,3,1,0,3,1,3,4
290,0,3,6,7,2,3,1,0,6,1,3,3
291,0,3,4,5,2,4,1,1,4,1,1,4
292,1,3,7,7,2,4,1,2,6,0,1,3
293,1,4,7,6,2,4,1,1,5,1,3,3
294,1,2,7,7,2,1,0,0,2,1,1,3
296,0,3,7,9,2,2,0,0,5,1,1,7
297,1,2,6,7,2,1,0,0,2,1,0,0
299,1,3,6,7,2,4,1,1,4,1,1,3
302,1,5,5,6,2,2,0,2,1,1,1,3
314,0,3,3,5,2,1,0,0,1,0,1,4
316,0,2,3,6,2,1,0,0,3,0,1,2
317,1,3,6,6,2,4,1,1,4,1,1,4
319,1,4,6,7,2,5,1,2,5,1,2,3
326,1,3,5,6,2,3,1,0,2,1,1,4
328,1,3,5,7,2,4,1,1,4,1,1,4
330,1,4,6,6,2,4,1,1,4,1,3,4
332,0,3,7,9,2,2,0,0,4,1,1,3
343,1,4,5,6,2,3,1,0,3,1,1,2
346,1,3,6,7,2,4,1,1,4,1,1,5
347,0,3,3,7,2,4,0,2,4,1,1,3
348,0,3,4,6,2,1,0,0,1,0,1,3
349,1,3,6,9,2,1,0,0,2,1,1,5
354,1,2,5,7,2,3,0,0,2,1,3,4
355,1,2,1,7,1,3,0,0,4,1,2,2
357,0,4,5,6,2,5,1,2,4,1,1,4
358,1,2,2,7,1,3,0,1,7,1,2,4
360,1,3,6,7,2,4,1,1,3,1,2,2
362,1,3,5,5,2,4,1,1,3,1,1,4
366,1,2,2,7,1,3,0,0,5,1,2,2
368,1,3,5,7,2,3,1,0,6,1,1,3
370,1,4,6,7,2,2,0,0,4,0,2,4
381,1,3,5,7,2,1,0,0,6,1,2,5
390,0,2,5,7,2,4,0,0,6,1,1,5
394,1,2,2,7,1,3,1,1,2,0,1,4
398,0,2,3,7,2,2,0,0,3,1,2,4
400,1,3,6,7,2,2,0,0,4,1,1,4
406,0,4,3,7,2,1,0,0,1,1,0,0
408,1,2,3,7,1,3,0,0,4,1,1,2
414,1,2,3,9,1,3,0,0,3,1,2,5
415,1,2,5,7,2,2,0,0,2,0,2,4
418,0,4,5,7,2,2,0,0,4,1,1,3
420,0,3,6,6,2,4,1,1,4,1,1,4
423,1,2,2,7,2,2,0,0,4,1,1,3
426,1,3,4,6,2,1,0,0,2,0,3,4
427,1,2,4,7,2,3,0,0,3,1,1,4
432,1,2,2,7,1,3,0,0,7,1,2,4
435,0,2,1,7,1,6,1,2,5,1,4,4
437,1,3,5,7,2,1,0,0,4,1,1,3
438,0,2,3,7,2,3,0,0,4,1,1,2
440,1,3,5,7,2,3,1,1,4,1,1,3
441,1,3,5,7,2,2,0,0,5,1,1,5
446,1,2,2,7,2,3,0,0,2,1,1,3
447,1,2,6,9,2,1,0,0,2,1,0,0
451,0,3,3,6,2,3,0,1,5,1,2,3
453,1,2,3,7,1,2,0,1,2,1,1,2
456,1,3,5,6,2,1,0,0,3,1,2,2
457,1,1,1,7,1,4,1,0,1,1,1,4
460,1,3,5,7,2,3,0,0,3,1,2,6
465,1,3,5,6,2,4,2,0,3,1,2,4
470,0,4,7,7,2,3,2,0,6,1,3,3
475,1,3,6,7,2,1,0,0,3,0,1,5
485,1,2,2,7,1,3,0,1,1,1,3,3
490,1,3,7,9,2,3,1,0,4,1,2,3
493,1,1,1,5,1,3,1,0,2,0,1,4
496,1,4,6,7,2,3,1,0,5,1,1,3
498,0,3,6,7,2,1,1,0,4,0,2,4
503,0,3,3,6,4,1,0,0,2,0,1,3
504,1,2,6,9,2,2,0,0,4,1,1,3
508,1,3,2,6,2,4,1,2,2,1,1,3
509,1,4,5,7,2,6,1,2,5,1,1,3
510,0,3,2,5,4,2,0,0,4,0,2,3
512,1,2,3,7,2,6,1,2,7,1,4,4
517,1,2,4,7,2,2,0,0,3,0,2,4
528,0,3,3,6,2,3,0,1,2,1,2,4
539,1,4,5,7,2,4,1,1,3,0,2,4
540,1,3,6,7,2,3,1,0,6,1,1,3
541,1,4,7,7,2,5,1,2,5,1,3,3
554,1,3,5,7,2,2,0,0,2,0,2,4
563,0,4,7,7,2,4,2,0,6,1,3,4
566,1,3,5,7,2,2,0,0,4,1,2,4
568,1,3,4,6,2,2,0,0,2,1,2,5
569,1,2,4,6,4,4,1,0,4,1,2,4
572,1,2,6,7,2,4,2,0,3,1,3,5
573,1,3,4,7,2,1,0,0,3,0,1,4
576,1,2,6,7,2,3,0,0,4,1,3,4
578,0,3,5,6,2,4,1,1,4,1,1,4
580,1,2,3,7,2,2,0,0,1,0,1,3
588,1,3,4,7,2,5,2,1,3,0,1,4
590,1,2,3,6,2,3,0,0,3,1,2,5
591,1,3,6,7,2,3,1,2,4,1,3,4
592,1,2,6,7,2,1,0,0,2,1,0,0
595,0,3,6,7,2,4,1,1,4,1,1,4
604,1,3,4,6,2,1,0,0,2,0,1,2
607,0,2,2,7,2,3,0,0,4,1,2,2
612,1,2,3,7,1,3,0,0,3,1,2,4
614,1,3,6,9,2,5,1,2,4,1,3,4
616,0,3,5,6,2,4,1,1,4,1,1,4
618,1,3,5,7,2,2,0,0,2,0,3,3
623,0,3,4,6,2,3,0,1,5,1,2,4
624,1,4,6,7,2,5,1,2,5,1,2,3
628,1,3,3,7,2,4,1,1,3,1,2,5
632,1,5,6,7,2,2,0,0,3,1,1,2
638,1,3,4,7,2,5,1,2,2,1,2,6
639,0,3,3,7,2,1,0,0,1,0,0,0
643,0,4,7,9,2,5,1,2,7,1,3,4
645,1,4,6,6,2,3,1,0,3,1,0,0
646,1,3,5,6,2,3,0,0,5,1,5,2
647,1,2,2,2,2,6,0,2,2,0,2,3
648,0,4,7,7,2,4,2,0,6,1,2,4
649,0,3,5,7,2,1,0,0,2,1,1,3
659,0,4,3,6,2,3,1,1,4,1,2,3
661,1,3,4,6,2,2,0,0,3,1,2,5
663,0,3,6,7,2,5,1,2,4,0,2,3
667,1,3,4,6,2,4,1,1,4,1,2,3
668,1,2,4,7,2,1,0,0,3,0,1,4
669,1,3,5,7,2,3,1,0,4,1,1,4
670,0,2,2,7,1,1,0,0,2,0,1,3
678,0,3,7,7,2,1,0,0,3,1,1,3
679,1,3,5,7,2,4,1,1,4,1,1,4
681,1,3,3,7,2,3,0,0,2,1,1,3
685,1,2,2,6,2,3,1,0,2,1,2,4
688,1,1,1,5,1,4,2,0,2,1,2,4
689,1,2,6,7,2,2,0,1,4,1,2,2
691,1,4,4,5,2,5,1,2,2,0,2,4
692,0,5,7,7,2,3,1,0,5,1,1,3
694,1,4,5,7,2,4,2,0,4,1,2,4
695,0,3,4,7,2,4,2,0,3,1,0,0
697,1,2,5,7,2,2,0,0,4,1,1,4
698,0,3,7,9,2,2,0,0,5,1,1,3
712,1,3,6,7,2,2,0,0,5,1,1,3
722,1,3,6,7,2,2,0,0,5,1,1,3
725,1,4,5,6,2,3,1,0,2,1,2,3
726,1,3,3,7,4,5,1,0,3,0,1,3
728,0,4,5,7,2,3,1,0,4,1,1,4
731,1,2,2,6,1,5,0,0,2,0,3,3
735,1,2,2,6,1,3,3,0,4,0,2,3
736,0,3,6,7,2,4,1,1,3,0,1,4
738,1,4,3,6,2,2,0,0,3,0,2,5
740,1,3,2,5,2,3,1,0,3,1,1,3
743,1,2,2,7,2,2,2,2,1,1,2,3
745,1,3,6,7,2,2,0,2,5,1,1,3
748,1,3,5,6,2,3,0,0,3,0,2,3
750,1,3,5,7,2,4,1,1,2,1,3,3
755,1,3,6,7,2,3,1,0,6,1,1,3
757,1,2,3,7,2,4,0,1,4,1,1,5
758,1,3,7,7,2,2,0,0,3,0,1,4
760,1,3,3,7,2,3,1,2,3,1,3,6
768,1,3,2,6,2,3,1,0,2,1,1,3
771,1,3,5,6,2,4,1,1,3,1,1,4
772,1,3,6,7,2,3,0,0,5,0,2,4
779,0,4,4,5,2,8,2,2,3,1,4,3
781,1,3,6,7,2,1,0,0,3,0,2,4
782,1,2,6,7,2,1,0,0,2,1,0,0
791,0,3,6,7,2,3,1,0,3,1,2,3
792,1,2,3,6,2,6,1,1,4,1,2,2
794,1,3,7,7,2,2,0,0,5,1,1,4
795,0,3,5,6,2,3,1,0,4,1,2,2
797,1,3,3,6,2,2,0,0,2,1,1,4
799,1,3,7,7,2,3,1,0,5,1,2,4
800,0,5,5,7,2,3,1,0,6,1,2,4
801,1,3,7,6,2,2,0,0,4,1,1,3
802,1,3,5,7,2,2,0,0,2,1,2,5
806,1,3,5,7,2,1,0,0,2,1,2,2
807,0,3,6,7,2,4,1,0,6,1,3,3
808,1,2,3,7,1,3,0,0,3,1,3,5
809,0,3,2,7,2,5,2,0,2,0,3,3
811,1,2,2,7,2,2,5,2,4,1,2,2
816,0,4,5,6,2,5,2,0,3,1,1,6
818,1,3,4,7,2,2,0,0,2,0,1,7
823,0,4,1,5,2,3,0,0,1,1,0,0
824,0,3,4,7,2,4,1,1,4,1,3,4
826,1,4,4,6,2,3,1,0,2,1,1,3
831,0,3,4,6,2,4,2,0,3,0,2,3
832,1,3,5,7,1,3,0,0,3,1,1,3
835,1,2,3,6,2,1,1,0,1,0,1,2
836,0,3,5,9,2,4,1,1,4,1,2,3
839,0,3,5,7,2,2,0,0,3,1,3,4
840,1,3,4,7,2,2,0,0,3,1,2,5
841,1,3,3,5,4,3,0,0,3,1,2,4
843,1,2,4,6,2,5,1,0,3,1,1,5
845,1,3,6,7,2,3,1,0,3,0,3,4
847,1,3,4,7,2,3,0,1,2,1,2,3
855,1,4,6,7,2,5,2,1,4,1,2,3
860,1,2,1,6,1,3,0,0,2,0,3,4
861,1,2,6,7,2,3,0,0,3,1,3,4
862,1,2,3,5,2,3,0,0,2,1,1,3
863,1,3,4,6,2,1,1,0,2,0,1,3
864,0,3,7,7,2,3,0,0,7,1,2,3
865,1,2,1,7,1,4,0,0,2,1,1,6
866,0,3,4,6,2,1,0,0,3,0,2,6
867,1,2,6,6,2,5,1,2,4,1,2,3
868,1,4,7,7,2,1,0,0,5,0,2,5
869,1,3,6,7,2,5,1,2,5,1,3,4
870,0,3,6,7,2,3,1,0,4,1,2,3
